ptcut,etcut,mode,order,mlow,mhigh,sigma_fb,unc_stat_fb,unc_lumi_fb,N_selected,N_background,eff,delta_df,delta_ss,data_n_total,data_n_after_mass,data_n_after_iso,data_n_after_mass_and_iso
3,9,none,iso -> df -> ss,66,116,2240685.978345348,458.7039611063984,38091.66163187092,24071952.0,70438.03493584877,0.292668886413073,,,26363258,24783058,25559583,24071952
3,9,df,iso -> df -> ss,66,116,2239240.642986367,458.40807803277767,38067.090930768245,24071952.0,70438.03493584877,0.292857791831225,15357.931155484417,,26363258,24783058,25559583,24071952
3,9,ss,iso -> df -> ss,66,116,2240583.3264533007,458.6935150641727,38089.91654970611,24070852.425653428,70438.03493584877,0.292668886413073,,1099.57434657368,26363258,24783058,25559583,24071952
3,9,df+ss,iso -> df -> ss,66,116,2239138.0573090464,458.3976387286823,38065.34697425379,24070852.425653428,70438.03493584877,0.292857791831225,15357.931155484417,1099.57434657368,26363258,24783058,25559583,24071952
3,10,none,iso -> df -> ss,66,116,2241658.2564621707,458.5136376166938,38108.190359856904,24112766.0,70528.63089586198,0.29303830300743855,,,26363258,24783058,25603278,24112766
3,10,df,iso -> df -> ss,66,116,2240204.0523699755,458.21619156030795,38083.46889028959,24112766.0,70528.63089586198,0.2932285256342356,15465.019665097556,,26363258,24783058,25603278,24112766
3,10,ss,iso -> df -> ss,66,116,2241553.9029924837,458.5030274015695,38106.41635087223,24111646.78796968,70528.63089586198,0.29303830300743855,,1119.2120303227057,26363258,24783058,25603278,24112766
3,10,df+ss,iso -> df -> ss,66,116,2240099.766596264,458.2055882282213,38081.6960321365,24111646.78796968,70528.63089586198,0.2932285256342356,15465.019665097556,1119.2120303227057,26363258,24783058,25603278,24112766
3,11,none,iso -> df -> ss,66,116,2242909.3729780526,458.4809842567473,38129.4593406269,24143035.0,70586.2604563973,0.2932428686598077,,,26363258,24783058,25635763,24143035
3,11,df,iso -> df -> ss,66,116,2241448.5962914904,458.18238176254795,38104.62613695534,24143035.0,70586.2604563973,0.29343397826042383,15537.130264061954,,26363258,24783058,25635763,24143035
3,11,ss,iso -> df -> ss,66,116,2242802.5701096295,458.47013179687764,38127.643691863705,24141888.718029663,70586.2604563973,0.2932428686598077,,1146.2819703360233,26363258,24783058,25635763,24143035
3,11,df+ss,iso -> df -> ss,66,116,2241341.8629823383,458.1715363707393,38102.81167069975,24141888.718029663,70586.2604563973,0.29343397826042383,15537.130264061954,1146.2819703360233,26363258,24783058,25635763,24143035
3,12,none,iso -> df -> ss,66,116,2244183.9108423777,458.5200323756437,38151.126484320426,24166312.0,70636.71362898946,0.2933591051071699,,,26363258,24783058,25660839,24166312
3,12,df,iso -> df -> ss,66,116,2242716.424916206,458.2202032524029,38126.179223575506,24166312.0,70636.71362898946,0.2935510599853151,15605.85097216077,,26363258,24783058,25660839,24166312
3,12,ss,iso -> df -> ss,66,116,2244074.7210376095,458.50894271200383,38149.270257639364,24165139.63526306,70636.71362898946,0.2933591051071699,,1172.3647369394832,26363258,24783058,25660839,24166312
3,12,df+ss,iso -> df -> ss,66,116,2242607.3065113355,458.2091208403636,38124.32421069271,24165139.63526306,70636.71362898946,0.2935510599853151,15605.85097216077,1172.3647369394832,26363258,24783058,25660839,24166312
3,13,none,iso -> df -> ss,66,116,2245436.833141857,458.5997256602894,38172.42616341157,24184831.0,70669.2475111787,0.2934203575708769,,,26363258,24783058,25681036,24184831
3,13,df,iso -> df -> ss,66,116,2243964.361520519,458.29899349467195,38147.394145848826,24184831.0,70669.2475111787,0.29361289768294585,15653.430244358446,,26363258,24783058,25681036,24184831
3,13,ss,iso -> df -> ss,66,116,2245326.3459479553,458.5885085202603,38170.54788111524,24183644.45757494,70669.2475111787,0.2934203575708769,,1186.5424250580909,26363258,24783058,25681036,24184831
3,13,df+ss,iso -> df -> ss,66,116,2243853.946779895,458.2877837104144,38145.51709525822,24183644.45757494,70669.2475111787,0.29361289768294585,15653.430244358446,1186.5424250580909,26363258,24783058,25681036,24184831
3,14,none,iso -> df -> ss,66,116,2246540.1564626126,458.68195216356565,38191.18265986442,24199868.0,70694.18895182695,0.29345882917836963,,,26363258,24783058,25697690,24199868
3,14,df,iso -> df -> ss,66,116,2245062.723339496,458.3803007966169,38166.06629677144,24199868.0,70694.18895182695,0.29365194885827517,15700.548866056663,,26363258,24783058,25697690,24199868
3,14,ss,iso -> df -> ss,66,116,2246428.327659098,458.6706023392858,38189.281570204665,24198666.892319232,70694.18895182695,0.29345882917836963,,1201.1076807692132,26363258,24783058,25697690,24199868
